"","ResultMeasure2","STRAHLER2","DrainageAreaMeasure_MeasureValue","HUCEightDigitCode","date","ResultSampleFractionText","PFOR2","PWETL2","PURB2","PAGT2","LatitudeMeasure","LongitudeMeasure","MonitoringLocationIdentifier"
"1189",0.017,2,270,14010001,"2016-09-29T00:00:00Z","Total",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1190",0.005,2,270,14010001,"2016-09-29T00:00:00Z","Dissolved",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1191",0.007,2,270,14010001,"2008-06-25T00:00:00Z","Dissolved",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1192",0.018,2,270,14010001,"2008-06-25T00:00:00Z","Total",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1193",0.015,2,270,14010001,"2008-09-09T00:00:00Z","Total",46.08,0,0,0.25,40.1085963,-106.4139212,"USGS-09041400"
"1194",0.006,2,25.6,14010001,"2006-05-04T00:00:00Z","Dissolved",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1195",0.029,2,25.6,14010001,"2006-05-04T00:00:00Z","Total",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1196",0.003,2,25.6,14010001,"2000-11-06T00:00:00Z","Dissolved",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1197",0.012,2,25.6,14010001,"2000-11-06T00:00:00Z","Total",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1198",0,2,25.6,14010001,"2006-10-12T00:00:00Z","Dissolved",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
"1199",0.009,2,25.6,14010001,"2006-10-12T00:00:00Z","Total",46.08,0,0,0.25,39.8930278,-105.76475,"USGS-09023750"
